GEOID,sovi,rank,state_id
g06001,-2.456297875585539,48.0,g06
g06003,-4.709126226507388,58.0,g06
g06005,0.5359477799221228,20.0,g06
g06007,-0.13466929889397034,26.0,g06
g06009,-3.1315418280304046,52.0,g06
g06011,5.311959412369451,3.0,g06
g06013,-3.2474738397074034,53.0,g06
g06015,2.843015802944668,10.0,g06
g06017,-4.267482149568286,56.0,g06
g06019,1.698753363658856,16.0,g06
g06021,2.7412349745103857,11.0,g06
g06023,-1.670127567523288,44.0,g06
g06025,3.844378089537227,6.0,g06
g06027,-0.6629368780438281,31.0,g06
g06029,2.4407951887031363,12.0,g06
g06031,5.500011464507813,1.0,g06
g06033,0.8243768051189516,19.0,g06
g06035,4.631619745304934,5.0,g06
g06037,0.21638845932439343,23.0,g06
g06039,3.831514200018567,7.0,g06
g06041,-1.47920906660452,42.0,g06
g06043,-0.08858299401474556,25.0,g06
g06045,0.2989205025909163,22.0,g06
g06047,2.393812167498558,13.0,g06
g06049,5.174921857341387,4.0,g06
g06051,-4.295685020893929,57.0,g06
g06053,3.2859791405432377,9.0,g06
g06055,1.7300163654480698,15.0,g06
g06057,-2.7689761275559945,50.0,g06
g06059,-0.7841843406010518,32.0,g06
g06061,-4.057573814339591,55.0,g06
g06063,-0.9346881085281342,34.0,g06
g06065,-1.780002538849005,45.0,g06
g06067,-2.899573725867776,51.0,g06
g06069,-0.01624985644799548,24.0,g06
g06071,-2.5847787828666293,49.0,g06
g06073,-1.5653842046282471,43.0,g06
g06075,5.425293247241417,2.0,g06
g06077,-0.7921730194358719,33.0,g06
g06079,-0.26198946914853966,29.0,g06
g06081,-1.2783918968942003,40.0,g06
g06083,1.9975267758113566,14.0,g06
g06085,-1.2489458278497845,39.0,g06
g06087,-0.28041669987209683,30.0,g06
g06089,-1.0750778942611383,36.0,g06
g06091,-1.9082226572190302,47.0,g06
g06093,-0.17318864869602524,27.0,g06
g06095,-3.7113484043499927,54.0,g06
g06097,-1.1325307843784578,37.0,g06
g06099,0.4984146001620131,21.0,g06
g06101,0.8972840222962228,18.0,g06
g06103,1.2396848624374046,17.0,g06
g06105,-1.405223253464428,41.0,g06
g06107,3.632639679165268,8.0,g06
g06109,-0.20217909759700356,28.0,g06
g06111,-1.2385066277004961,38.0,g06
g06113,-1.8129337309400024,46.0,g06
g06115,-0.938816249591512,35.0,g06
g13001,1.9984989711226724,27.0,g13
g13003,4.206944312486453,10.0,g13
g13005,0.9914976080209901,59.0,g13
g13007,3.254098095018085,15.0,g13
g13009,0.030217976895009824,81.0,g13
g13011,-0.2862420946027633,90.0,g13
g13013,-2.4359871694113044,130.0,g13
g13015,-3.044196504470642,140.0,g13
g13017,1.4045387767240756,40.0,g13
g13019,1.3124291253206584,44.0,g13
g13021,-0.8582146352234408,103.0,g13
g13023,-0.5413036587866313,95.0,g13
g13025,-0.48169054131596084,94.0,g13
g13027,2.035694585377568,26.0,g13
g13029,-4.409649260673078,151.0,g13
g13031,-2.8695610217022818,137.0,g13
g13033,-0.3953109440920383,92.0,g13
g13035,-0.9022222494085638,105.0,g13
g13037,8.4824902605639,1.0,g13
g13039,-4.851624645795553,156.0,g13
g13043,1.8588749111398675,30.0,g13
g13045,-2.705616547573841,133.0,g13
g13047,-3.6639279424970104,146.0,g13
g13049,1.2647900648301764,46.0,g13
g13051,-1.8957916018938121,121.0,g13
g13053,-7.384389858153991,159.0,g13
g13055,0.9865671331320931,60.0,g13
g13057,-3.705435792620379,147.0,g13
g13059,-0.0001508034826609439,83.0,g13
g13061,6.8254166143749995,3.0,g13
g13063,-0.891574324258168,104.0,g13
g13065,0.710294543917437,69.0,g13
g13067,-0.6871729417692284,97.0,g13
g13069,0.8769025404669735,61.0,g13
g13071,2.787465231736289,18.0,g13
g13073,-3.2262065573904897,143.0,g13
g13075,-0.15540990559000734,88.0,g13
g13077,-2.9780270217246505,138.0,g13
g13079,-3.140827171671827,141.0,g13
g13081,0.12564390576809836,80.0,g13
g13083,-2.1211043043313995,125.0,g13
g13085,-2.3223257743003383,129.0,g13
g13087,0.29666606575478427,76.0,g13
g13089,0.6599082631699833,70.0,g13
g13091,1.1071408703916943,52.0,g13
g13093,3.546417033411158,13.0,g13
g13095,-1.419018281901631,114.0,g13
g13097,-4.128428889872512,149.0,g13
g13099,1.7113774017154455,34.0,g13
g13101,5.336142502483214,6.0,g13
g13103,-5.386768214896624,157.0,g13
g13105,0.24184645195412502,78.0,g13
g13107,1.011942667002241,58.0,g13
g13109,1.2534800305681741,47.0,g13
g13111,-0.782339929536755,99.0,g13
g13113,-2.44994007459652,131.0,g13
g13115,-0.24355940239202883,89.0,g13
g13117,-1.9030744257014243,122.0,g13
g13119,0.855822376920374,62.0,g13
g13121,1.202710971699991,49.0,g13
g13123,1.843101625302346,32.0,g13
g13125,2.6369260111273447,21.0,g13
g13127,-0.9369889126645211,107.0,g13
g13129,-0.09409019696476525,86.0,g13
g13131,0.7272010645994542,68.0,g13
g13133,2.658267168677064,20.0,g13
g13135,0.7895147813225181,66.0,g13
g13137,0.27953964389371094,77.0,g13
g13139,1.3696525680222422,42.0,g13
g13141,4.516448036460605,9.0,g13
g13143,-1.0540853019348186,110.0,g13
g13145,-3.2875868852025714,144.0,g13
g13147,1.0427415079953326,56.0,g13
g13149,-0.9389795315027939,108.0,g13
g13151,-4.493352827064979,153.0,g13
g13153,-2.789680065920226,136.0,g13
g13155,1.2430760832222596,48.0,g13
g13157,-1.9423110242562418,123.0,g13
g13159,-2.470265729601212,132.0,g13
g13161,0.8261066391701055,65.0,g13
g13163,1.1007317136150845,53.0,g13
g13165,1.794773506173934,33.0,g13
g13167,2.9144001673303706,17.0,g13
g13169,-2.769354712553132,135.0,g13
g13171,-1.718757888251767,117.0,g13
g13173,-0.8538883744994866,101.0,g13
g13175,-0.12227520416602844,87.0,g13
g13177,-3.853515921955807,148.0,g13
g13179,-4.433820454301733,152.0,g13
g13181,0.845970691785005,64.0,g13
g13183,-4.340930166013166,150.0,g13
g13185,-3.02986743373234,139.0,g13
g13187,-3.5400499476526033,145.0,g13
g13189,-0.8119919343952042,100.0,g13
g13191,-1.8401860001741355,120.0,g13
g13193,3.264443114498949,14.0,g13
g13195,-1.5035190132034977,116.0,g13
g13197,3.2043839725719065,16.0,g13
g13199,-0.9369105637065025,106.0,g13
g13201,2.17756367196674,23.0,g13
g13205,2.1234198427033713,25.0,g13
g13207,-1.503264116733714,115.0,g13
g13209,1.3776497877756295,41.0,g13
g13211,-1.116947487589906,111.0,g13
g13213,-0.3169378132202029,91.0,g13
g13215,-1.719494191018386,118.0,g13
g13217,-4.81046721855036,155.0,g13
g13219,-2.163073754970561,126.0,g13
g13221,-0.7792764427455761,98.0,g13
g13223,-5.698626691904423,158.0,g13
g13225,0.02011191256192063,82.0,g13
g13227,-1.724605676744007,119.0,g13
g13229,0.48325125349663367,72.0,g13
g13231,-4.760040600992386,154.0,g13
g13233,0.4407233968287952,73.0,g13
g13235,1.0440898569570667,55.0,g13
g13237,1.020204523445291,57.0,g13
g13239,0.6445264005917661,71.0,g13
g13241,2.4711269010966133,22.0,g13
g13243,4.587608229784825,7.0,g13
g13245,-2.0073155130752083,124.0,g13
g13247,-2.7681088914220093,134.0,g13
g13249,-0.05334988120547646,84.0,g13
g13251,0.3401268188716941,75.0,g13
g13253,1.4943557286846638,38.0,g13
g13255,-2.242771177296568,127.0,g13
g13257,-0.9642595716758655,109.0,g13
g13259,7.176171707926525,2.0,g13
g13261,1.1405792861878665,51.0,g13
g13263,0.1358620166779978,79.0,g13
g13265,3.6957643736165022,12.0,g13
g13267,3.7350861376840414,11.0,g13
g13269,1.4914226402039104,39.0,g13
g13271,6.111128080887574,5.0,g13
